country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2011_gsw,fsi_2013_gsw,fsi_2015_gsw,fsi_2018_gsw,fsi_2020_gsw,fsi_2022_gsw,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score
Bulgaria,BGR,,,,91.38212,57.52600889,89.5195970426802,,,,0.0001898,0.00010767,0.0002258916501887,,,,89,115,106,,,,54.175,49.45,52.775
Bahrain,BHR,660.3148226,461.1659,471.3962,490.7067,137.9927224,191.054723230585,0.002757,0.18169,0.1638862,0.0011315,0.000183192,0.0002184811455663,10,13,9,17,81,60,77.8,72.3,73.67,77.8,62.4,68.2
Bahamas,BHS,431.110463,226.8748,273.0835,429.0041,407.2798157,385.443037120639,0.0004347,0.00877,0.0169533,0.0003595,0.000860266,0.0007205307483673,19,35,25,19,22,22,82.87,79.93,79.02,84.5,75.375,75.475
Bosnia and Herzegovina,BIH,,,,,,,,,,0.0000103,0.000013,,,,,,,,,,,,,
Belarus,BLR,,,,,,,,,,0.0000665,0.0000708,,,,,,,,,,,,,
Belize,BLZ,198.3999755,129.8344,92.46147,86.29995,78.07163009,76.3965466696601,0.0000197,0.00156,0.0006701,0.00000838,0.00000722,0.00000586761689191917,41,52,60,90,110,115,90.23,80.4,78.86,75.175,73.925,75.1
Bermuda,BMU,539.8775265,432.3802,217.7114,281.8268,289.0693612,244.634676127082,0.0006561,0.06111,0.0418592,0.0003779,0.000424475,0.0003570246335584,12,14,34,36,40,49,85.33,79.87,66.27,73.05,72.725,70.125
Bolivia,BOL,,,,94.82185,114.7429415,87.2225547873925,,,,0.00000611,0.0000125,0.00000538137146577355,,,,88,91,109,,,,80.35,79.1,79.25
Brazil,BRA,,283.9142,263.6772,137.9975,157.2123276,135.344597078661,,0.76839,0.6780047,0.0016138,0.001478888,0.0014811910223215,,29,26,73,73,83,,52.4,51.84,49,51.675,49.15
Barbados,BRB,266.5653179,317.4745,298.3258,230.953,192.8631042,176.944742731616,0.0001604,0.02132,0.0240279,0.0001885,0.000107811,0.0000860954023664817,31,26,22,48,63,63,78.87,81,78.29,73.85,74,73.725
Brunei,BRN,45.79904958,50.63406,47.41675,85.59808,34.61833041,28.3367424360271,4.55e-7,0.0000615,0.0000584,0.000003,3.75e-7,3.72489466826664e-7,64,73,80,91,125,136,84.13,84.13,82.78,84.05,78.3,73.3
Bhutan,BTN,,,,,,,,,,3.5e-7,0.00000391,,,,,,,,,,,,,
Botswana,BWA,121.2662673,98.99626,90.55827,39.44938,58.3732222,80.3532278185222,0.0000157,0.00158,0.0015438,0.0000018,0.0000142,0.0000843091984279454,50,60,62,103,113,113,78.53,73.33,71.38,68.725,62.2445,56.8
Central African Republic,CAF,,,,,,,,,,5.34e-7,1.7e-7,,,,,,,,,,,,,
Canada,CAN,366.1569807,418.5234,251.7512,425.8399,438.3763735,348.703010135141,0.0086798,2.0076,1.785307,0.0174696,0.015966427,0.0176911614835262,24,17,29,21,19,28,56.27,53.6,45.84,54.75,55.8375,51.15
Cocos Islands,CCK,,,,,,,,,,2.51e-7,0.00000191,,,,,,,,,,,,,
Switzerland,CHE,1879.215803,1765.25,1466.132,1589.574,1402.104341,1167.06805877781,0.0606833,4.91557,5.624578,0.0450241,0.041173277,0.0391395017504692,1,1,1,1,3,2,78.2,78.4,72.6,76.45,74.05,70.05
Chile,CHL,,,166.6763,168.6416,135.1246845,161.135874986073,,,0.1201913,0.0003756,0.000471381,0.0004294379905331,,,42,60,82,73,,,53.92,61.6,55.7875,59.775
China,CHN,,,312.1978,372.5777,397.2478134,577.680381278876,,,0.7426957,0.0050747,0.006362198,0.0076314662583172,,,20,28,25,11,,,54.29,60.075,59.85,66.45
Cote d'Ivoire,CIV,,,,,,,,,,0.000017,0.0000149,,,,,,,,,,,,,
Cameroon,CMR,,,,,229.2318944,139.847121712536,,,,0.0000605,0.000247422,0.0000656362317386083,,,,,53,81,,,,,71.475,70.25
Congo DRC,COD,,,,,,,,,,0.0000117,0.00000445,,,,,,,,,,,,,
"Congo, Rep.",COG,,,,,,,,,,0.00000661,0.00000406,,,,,,,,,,,,,
Cook Islands,COK,13.39634467,25.26854,17.80766,44.97323,12.08968373,38.9829277017679,3.1e-8,0.0000172,0.00000674,0.00000128,4.21e-8,0.00000151609162912791,71,78,91,100,133,131,75.27,76.87,75.92,74.575,70.3,69.75
Colombia,COL,,,,,92.25450441,88.2030750488736,,,,0.0001234,0.000134356,0.0001665150775806,,,,,102,108,,,,,56.475,54.325
Comoros,COM,,,,,,,,,,,0.00000233,,,,,,,,,,,,,
Cape Verde,CPV,,,,,,,,,,0.00000455,0.00000218,,,,,,,,,,,,,
Costa Rica,CRI,177.2174434,157.6024,74.91603,168.778,132.2436273,91.2461682063749,0.0000613,0.00825,0.0097819,0.000142,0.000162991,0.0001448558759875,42,46,67,59,83,105,76.6,71.27,54.58,68.65,62.325,55.8
Cuba,CUB,,,,,,,,,,0.0000167,0.00000242,,,,,,,,,,,,,
Cura�ao,CUW,,106.41,67.8111,105.658,103.6047272,117.38350146156,,0.00129,0.0010382,0.0000161,0.0000151,0.000019007640730706,,58,70,84,96,90,,76.83,67.74,74.8,74.85,76.05
Christmas Island,CXR,,,,,,,,,,0.00000201,2.07e-7,,,,,,,,,,,,,
Cayman Islands,CYM,1646.67297,1233.567,1013.158,1267.682,1575.187467,516.439709453182,0.0462181,4.69371,4.857429,0.0378563,0.045795109,0.0024506628978997,2,4,5,3,1,14,77.13,69.93,65.24,72.275,76.075,72.625
Cyprus,CYP,406.5143262,198.9163,213.938,404.4424,383.3767089,510.050768266449,0.0095209,0.26426,0.5178813,0.0054527,0.004765472,0.010504505597055,20,41,35,24,27,15,57.67,52.4,49.82,61.25,61.075,61.525
Czechia,CZE,,,44.24571,145.1049,163.301549,114.22075002177,,,0.1049423,0.0009378,0.000885897,0.0007629656465724,,,81,70,67,92,,,35.18,52.925,55.4,50
Germany,DEU,669.7714873,738.3376,701.8712,768.9534,499.7193618,680.656109360453,0.0463449,4.32597,6.026058,0.0516907,0.047084074,0.0520637817680836,9,8,8,7,14,7,57.13,59.47,56.36,59.1,51.725,56.7
Djibouti,DJI,,,,,,,,,,0.0000147,,,,,,,,,,,,,,
Dominica,DMA,12.45284756,26.94115,21.31418,62.02435,53.75459323,43.8971151015247,1.46e-8,0.0000172,0.0000112,0.00000241,0.00000244,0.00000398637894249987,72,77,89,96,118,128,79.87,78.53,76.16,77.325,73.65,65.175
Denmark,DNK,121.6806958,63.11788,38.20438,166.1187,103.5213067,139.920728650272,0.0075233,0.60464,0.219033,0.0015129,0.001374197,0.0016977428458631,49,66,83,61,97,80,39.6,32.6,30.87,52.5,45.325,48.95
Dominican Republic,DOM,,193.7889,,147.0888,86.68009359,125.936550498231,,0.01221,,0.0000643,0.0000784,0.0001001859563984,,42,,69,107,84,,73.1,,71.6,58.725,64.725
Algeria,DZA,,,,,400.5574352,335.084734486588,,,,0.0006196,0.000499516,0.0003112512640655,,,,,23,34,,,,,79.625,79.075
Ecuador,ECU,,,,,50.65986558,72.8240981066744,,,,0.0002126,0.000111552,0.0001336347195319,,,,,120,116,,,,,47.2125,52.225
Egypt,EGY,,,,,241.9304224,211.380977536261,,,,0.0004498,0.000294548,0.000293950230116,,,,,46,56,,,,,71.375,68.25
Eritrea,ERI,,,,,,,,,,6.54e-9,2.56e-7,,,,,,,,,,,,,
Western Sahara,ESH,,,,,,,,,,1.43e-9,1.44e-9,,,,,,,,,,,,,
Spain,ESP,98.79348649,111.3811,77.46602,213.8851,164.2963027,345.885712125912,0.0161782,1.50447,1.090434,0.0076538,0.007248589,0.0069691017270088,54,56,66,52,66,29,33.93,35.6,32.69,47.7,43.95,56.575
Estonia,EST,,,52.93182,79.46701,46.03418673,46.8513248291558,,,0.0228461,0.0002208,0.00019208,0.0001597221707925,,,77,93,121,125,,,44.24,50.85,43.05,44.2
Ethiopia,ETH,,,,,,,,,,6.75e-7,0.00000589,,,,,,,,,,,,,
Finland,FIN,,,19.43176,142.2335,119.3438966,118.958377851446,,,0.0248691,0.0009177,0.000598392,0.0006269274163059,,,90,71,87,88,,,31.38,52.7,52.125,51.8
Fiji,FJI,,,,,,57.8165245316051,,,,0.0000107,0.00000996,0.00000460848332295427,,,,,,121,,,,,,70.3
Falkland Islands,FLK,,,,,,,,,,6.29e-7,1.33e-9,,,,,,,,,,,,,
France,FRA,312.3447133,190.9599,241.9387,404.1754,350.5328628,342.947734941308,0.0080026,2.14108,3.104121,0.0252393,0.022453358,0.0305284485220909,30,43,31,25,33,30,53.85,40.97,42.54,51.65,49.9,47.875
Faroe Islands,FRO,,,,,,,,,,0.0000221,0.0000331,,,,,,,,,,,,,
Micronesia,FSM,,,,,,,,,,2.83e-7,0.0000211,,,,,,,,,,,,,
Gabon,GAB,,,,,,,,,,0.0000326,0.000041,,,,,,,,,,,,,
United Kingdom,GBR,516.4732436,361.325,380.2413,423.76,534.6489772,546.906403786103,0.2001102,18.53012,17.39418,0.1736517,0.159378025,0.141361728310585,13,21,15,23,12,13,44.53,39.87,40.84,42.35,46.2,47.175
Georgia,GEO,,,,,,,,,,0.000024,0.000038,,,,,,,,,,,,,
Guernsey,GGY,402.3383479,419.3564,339.3795,658.9188,564.5566629,610.370358389219,0.0029756,0.25693,0.2308884,0.0052018,0.00410311,0.0051852632313966,21,15,17,10,11,10,65.4,67.4,63.56,72.45,70.65,70.65
Ghana,GHA,146.8078402,109.9242,139.184,68.85175,54.46927623,166.974162606216,0.0000264,0.00534,0.0097652,0.000025,0.0000612,0.0014911005273461,45,57,48,95,117,70,79,66.33,67.11,61.75,51.7,52.675
Gibraltar,GIB,174.6427276,147.8179,109.3385,107.4421,359.894185,109.672786965682,0.0000476,0.00282,0.0047468,0.0000277,0.00123614,0.0000499771595059428,44,49,55,83,30,96,78.4,78.6,67.09,70.825,69.475,66.775
Guinea,GIN,,,,,,,,,,0.00000207,0.0000264,,,,,,,,,,,,,
Guadeloupe,GLP,,,,,,,,,,4.44e-7,6.53e-8,,,,,,,,,,,,,
Gambia,GMB,,,,34.51403,37.71817321,20.9445083691393,,,,4.51e-7,7.25e-7,1.614570237507e-7,,,,106,124,138,,,,76.625,74.875,72.725
Guinea-Bissau,GNB,,,,,,,,,,0.0000056,0.00000486,,,,,,,,,,,,,
Equatorial Guinea,GNQ,,,,,,,,,,1.54e-9,2.21e-7,,,,,,,,,,,,,
Greece,GRC,,,37.23742,118.5833,91.6458191,103.197623112826,,,0.0460284,0.0002289,0.000303369,0.0003431259247008,,,85,80,103,99,,,36.4,57.875,51.475,52.825
Grenada,GRD,57.60750966,55.7658,42.17658,44.60537,34.5581084,35.8128087724807,0.00000106,0.00016,0.0000899,9.25e-7,9.53e-7,0.0000019595051981014,62,70,82,101,126,132,82.67,78.13,75.89,77.075,70.55,65.9
Greenland,GRL,,,,,,,,,,0.00000213,0.00000157,,,,,,,,,,,,,
Guatemala,GTM,174.8035251,142.4216,177.1868,123.6272,162.1515523,265.185704271828,0.0000375,0.00297,0.0068226,0.0000317,0.0000681,0.00025594671024,43,51,39,78,69,45,80.53,77.2,75.69,73.1,73.5,74.75
French Guiana,GUF,,,,,,,,,,0.00000123,0.00000125,,,,,,,,,,,,,
Guam,GUM,,,,,,31.8871036558588,,,,0.00000579,0.000115406,7.73120689245843e-7,,,,,,134,,,,,,70.3
Guyana,GUY,,,,,,,,,,0.000032,0.0000292,,,,,,,,,,,,,
Hong Kong,HKG,1370.740769,1283.445,1259.422,1243.678,1035.294758,926.77899139798,0.0423185,4.20557,3.841655,0.0416914,0.044376315,0.0387004613876343,4,3,2,4,4,4,73.27,71.73,72,71.05,66.375,64.95
Honduras,HND,,,,,,,,,,0.00000829,0.00000724,,,,,,,,,,,,,
Croatia,HRV,,,,119.3637,112.3301275,101.912386926766,,,,0.0001883,0.000304017,0.0003140439512208,,,,79,93,100,,,,59.275,55.075,53.125
Haiti,HTI,,,,,,,,,,0.000024,0.0000313,,,,,,,,,,,,,
Hungary,HUN,94.79689408,54.65056,37.31525,132.7332,151.5159647,155.985361320584,0.000696,0.05605,0.0520648,0.0005334,0.000921159,0.0007976269698701,57,72,84,74,75,76,47.47,40.47,35.93,54.7,53.8,55.2
Indonesia,IDN,,,,188.7874,143.8350776,170.240689326121,,,,0.0005385,0.001258111,0.0009407675242982,,,,57,79,66,,,,61.45,51.075,55.8
Isle of Man,IMN,230.4174787,237.258,228.5974,248.6847,258.344155,189.533907585028,0.0005964,0.04863,0.0682068,0.0009065,0.000870899,0.0003287309082224,37,34,32,42,43,61,64.93,67.07,63.8,63.575,64.675,65
India,IND,344.0421554,254.5711,148.0025,316.6198,238.6822839,318.366687317518,0.0127682,1.79952,1.486722,0.0116174,0.010364403,0.0073301172815263,25,32,45,32,47,36,52.8,45.97,39.19,51.9,47.8375,54.725
British Indian Ocean Territory,IOT,,,,,,,,,,0.00000148,6.32e-7,,,,,,,,,,,,,
Ireland,IRL,264.2156913,155.5173,187.4491,387.941,363.7959507,357.174772650659,0.0298402,2.64624,2.312699,0.0266123,0.034610427,0.0391890145838261,32,47,37,26,29,27,44,37.37,40.37,50.65,48.15,47.2
Iran,IRN,,,,,,,,,,0.00000341,0.00000505,,,,,,,,,,,,,
Iraq,IRQ,,,,,,,,,,0.0000389,0.0000137,,,,,,,,,,,,,
Iceland,ISL,,,67.11217,139.6926,129.3088059,45.848661724847,,,0.0354585,0.0002746,0.000320908,0.0002153181994799,,,71,72,84,126,,,45.6,59.9,57.375,42.45
Israel,ISR,230.2969209,205.9219,173.7764,313.5544,291.4915508,335.856649395178,0.0015771,0.13175,0.1656644,0.0019028,0.003004692,0.0041780113242566,38,38,40,34,38,32,58.27,57.27,52.76,63.25,58.675,59.3
Italy,ITA,231.1939797,118.9649,98.65669,254.1414,287.7961653,393.350377781294,0.0080645,0.74772,1.218337,0.0092417,0.011410889,0.0135440649464726,36,54,58,41,41,21,48.67,39.33,35,49.475,50.375,54.85
Jamaica,JAM,,,,,,,,,,0.000019,0.0000182,,,,,,,,,,,,,
Jersey,JEY,750.1455758,591.7031,354.0404,438.2174,466.8129505,458.502664879157,0.003742,0.26301,0.2163465,0.0038184,0.004568414,0.0057828370481729,7,9,16,18,16,19,78.47,75.4,64.93,65.45,65.525,63.45
Jordan,JOR,,,,,260.3940199,170.42080332232,,,,0.0002085,0.000159602,0.0000960835386649705,,,,,42,65,,,,,78.3,71.925
Japan,JPN,693.6381377,513.1047,418.3741,623.9166,695.5945925,764.994509813845,0.0180129,1.18456,1.062489,0.0223656,0.021994852,0.0281295273452997,8,10,12,13,7,6,64.2,60.83,57.52,60.5,62.85,63.125
Kazakhstan,KAZ,,,,,82.30435033,146.852451402802,,,,0.0000488,0.000029,0.0002054886281257,,,,,108,78,,,,,64.475,62.9
Kenya,KEN,,,,378.3477,398.1913655,281.572610479911,,,,0.0004013,0.000750402,0.0008543556905351,,,,27,24,41,,,,80.05,75.9545,66.7
Kyrgyz Republic,KGZ,,,,,,,,,,0.0000319,0.0000235,,,,,,,,,,,,,
Cambodia,KHM,,,,,,,,,,0.0000734,0.0000285,,,,,,,,,,,,,
Kiribati,KIR,,,,,,,,,,0.00000709,0.00000275,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,31.16919967,18.45872,68.42789,152.5491,162.2543025,168.320986983207,1.93e-7,0.00000492,0.0002988,0.0000389,0.0000557,0.0000488195255456958,67,80,69,63,68,68,81.4,79.57,78.03,76.65,75.175,77.225
South Korea,KOR,317.1874912,328.7934,124.2812,314.0573,411.058924,498.628333783005,0.0085506,0.97831,0.3018043,0.0035621,0.005458489,0.0070785572752356,28,24,49,33,21,16,53.73,53.57,44.14,59.025,61.575,63.8
Kuwait,KWT,,,,,369.1707737,334.388742381677,,,,0.0004016,0.001158308,0.0005241017206572,,,,,28,35,,,,,70.575,74.575
Laos,LAO,,,,,,,,,,0.00000279,0.00000272,,,,,,,,,,,,,
Lebanon,LBN,397.3275649,747.8594,760.211,644.4132,385.5245651,149.046428743194,0.0003661,0.3542,0.376748,0.0051303,0.003192005,0.00016899430193,22,7,7,11,26,77,82.2,78.87,78.76,72.025,63.975,64.6
Liberia,LBR,316.8840234,300.8851,218.2189,277.2883,77.58983749,286.164216330279,0.000212,0.01421,0.0056255,0.0001643,0.00000425,0.0003859911230392,29,27,33,38,111,40,81,83.23,82.89,79.7,78.2405,73.25
Libya,LBY,,,,,,,,,,0.00000148,0.00000395,,,,,,,,,,,,,
St. Lucia,LCA,78.7209814,66.89086,51.67438,21.52323,12.25216126,32.5936701981612,0.00000145,0.000138,0.0000741,9.04e-8,4e-8,6.47458364255726e-7,60,65,79,110,132,133,88.6,84.4,82.96,78.275,71.025,72.225
Liechtenstein,LIE,239.214042,240.963,202.3737,240.8588,229.6776321,217.465241935676,0.0000912,0.01132,0.0097518,0.0001267,0.000161848,0.0001935033214977,35,33,36,46,52,54,81,79.27,76.04,78.275,74.975,72.175
Sri Lanka,LKA,,,,,290.6386989,241.131858731254,,,,0.0005519,0.000461933,0.0001707340124994,,,,,39,50,,,,,72.175,75.75
Lesotho,LSO,,,,,,,,,,2.06e-8,1.74e-8,,,,,,,,,,,,,
Lithuania,LTU,,,,58.74935,89.82748835,96.6036985329499,,,,0.0001892,0.000351654,0.0003896579728461,,,,97,105,103,,,,46.775,50.3,50.95
Luxembourg,LUX,1621.157151,1454.483,816.9902,975.9181,849.3599776,803.665284815707,0.1312117,12.04948,11.62993,0.1213202,0.123640691,0.113171868026257,3,2,6,6,6,5,68.33,66.53,55.11,58.2,55.45,54.975
Latvia,LVA,88.8864986,128.1165,92.78296,195.6474,182.8323824,112.707140386812,0.0009281,0.09009,0.1127876,0.0011115,0.00069218,0.0002972319780383,58,53,59,55,65,95,45,51,44.67,57.375,59.125,55.275
Macao,MAC,389.7947257,360.4904,420.1752,424.9164,356.5284554,341.316487827463,0.0003057,0.10847,0.187652,0.0023877,0.002188076,0.0025073073338717,23,22,11,22,31,31,83.33,70.53,69.84,68.25,65,63.1
Morocco,MAR,,,,,157.4906161,146.481576141836,,,,0.0001435,0.000129891,0.0001327194040641,,,,,72,79,,,,,67.75,65.975
Monaco,MCO,37.73045046,38.84132,53.66951,82.93153,79.8978613,66.1207661704564,7.57e-7,0.0000787,0.0002224,0.00000566,0.0000122,0.00000458954400528455,65,75,76,92,109,118,74.53,74.93,74.36,77.5,70.3,73.55
Moldova,MDA,,,,,,,,,,0.0000129,0.0000104,,,,,,,,,,,,,
Madagascar,MDG,,,,,,,,,,0.00000121,0.00000582,,,,,,,,,,,,,
Maldives,MDV,78.45620857,21.05039,,74.87318,155.3867357,117.277751896864,0.00000107,0.00000738,,0.00000277,0.0000285,0.0000209742447623285,61,79,,94,74,91,91.54,79.47,,81.075,79.825,75.2
Mexico,MEX,,,117.0899,107.5703,139.8054232,139.294339003354,,,0.2113048,0.0002996,0.000864112,0.0008087054593488,,,52,82,80,82,,,45.02,54.375,52.75,53.075
Marshall Islands,MHL,457.0060042,329.6054,405.5528,275.2864,236.4328673,236.316279783906,0.0002372,0.02225,0.0527013,0.0003577,0.000323341,0.000278879830148,16,23,14,39,49,51,90.38,81.63,79.48,72.925,70.1,71.25
North Macedonia,MKD,,,59.5387,39.76486,54.85502758,46.8750516044697,,,0.0008412,0.00000564,0.0000091,0.00000766396442486439,,,74,102,116,124,,,66.4,60.675,64.05,61.95
Mali,MLI,,,,,,,,,,9.24e-7,0.00000923,,,,,,,,,,,,,
Malta,MLT,98.63070036,78.0526,260.9326,426.3097,442.1984597,309.347910756495,0.0007463,0.079,0.9903015,0.0071082,0.00662398,0.0069213174283504,55,64,27,20,18,38,47.73,43.87,49.53,60.525,61.75,54.55
Myanmar,MMR,,,,,,,,,,0.0000138,0.0000138,,,,,,,,,,,,,
Montenegro,MNE,,,,52.64225,53.6489963,61.4396784389491,,,,0.00000913,0.0000153,0.0000208093606488546,,,,99,119,119,,,,63.15,60.025,60.675
Mongolia,MNG,,,,,,,,,,0.0000151,0.000019,,,,,,,,,,,,,
Mozambique,MOZ,,,,,,,,,,6.5e-8,0.00000564,,,,,,,,,,,,,
Mauritania,MRT,,,,,,,,,,0.0000051,6.39e-7,,,,,,,,,,,,,
Montserrat,MSR,50.1146765,0,10.86544,16.53285,15.43065113,5.00878551453167,5.09e-7,0,0.00000449,4.48e-8,5.13e-8,1.9468795464661104e-9,63,82,92,112,130,141,85.62,74.47,67.36,77.5,74.6,73.75
Martinique,MTQ,,,,,,,,,,,5.89e-8,,,,,,,,,,,,,
Mauritius,MUS,261.5523825,397.8627,297.0404,223.4719,235.8193779,216.391317057951,0.0002712,0.04692,0.0490376,0.0002055,0.000267681,0.0002470948093105,33,19,23,49,51,55,73.93,80,72.22,72.35,71.525,70.125
Malawi,MWI,,,,,,,,,,0.0000335,0.0000318,,,,,,,,,,,,,
Malaysia,MYS,319.2789828,471.6878,338.7408,335.1089,352.6920303,296.349074069591,0.0003369,0.08245,0.0497612,0.0007305,0.001155894,0.0011333104921504,27,12,18,31,32,39,77.13,79.53,75.33,71.925,69.525,65.75
Mayotte,MYT,,,,,,,,,,2.68e-8,0.00000572,,,,,,,,,,,,,
Namibia,NAM,,,,,,113.074508145991,,,,0.0000577,0.0000647,0.000030359062293428,,,,,,94,,,,,,71.3
New Caledonia,NCL,,,,,,,,,,0.00000138,0.0000208,,,,,,,,,,,,,
Niger,NER,,,,,,,,,,0.00000507,0.00000337,,,,,,,,,,,,,
Norfolk Island,NFK,,,,,,,,,,,0.0000012,,,,,,,,,,,,,
Nigeria,NGA,,,,,348.5348452,271.150570931954,,,,0.0005628,0.001029176,0.0009930355008691,,,,,34,42,,,,,70.15,64.775
Nicaragua,NIC,,,,,,,,,,0.0000136,0.0000378,,,,,,,,,,,,,
Niue,NIU,,,,,,,,,,,1.79e-7,,,,,,,,,,,,,
Netherlands,NLD,199.6975153,204.929,168.3756,598.8086,682.2018149,555.669680707264,0.0048905,0.43046,0.322083,0.0090051,0.011061131,0.0087266005575656,40,39,41,14,8,12,49,50.13,48.49,66.025,67.4,64.625
Norway,NOR,,142.7945,110.6715,242.8484,157.878571,252.205041166651,,0.66727,0.7310982,0.0055469,0.005988748,0.0046207918785512,,50,53,45,71,48,,42.33,38.49,51.575,44.3,53.3
Nepal,NPL,,,,,,,,,,0.0000133,0.00000143,,,,,,,,,,,,,
Nauru,NRU,0,0,,26.32038,13.7947611,13.2818006711624,0,0,,7.03e-7,2.62e-7,2.67385161123457e-7,73,81,,108,131,139,93.31,78.93,,66.65,59.95,59.075
New Zealand,NZL,,151.4267,109.3944,178.5624,218.9967078,230.333097632574,,0.12555,0.1292975,0.0010139,0.001176027,0.0007872405112721,,48,54,58,57,53,,51.97,46.48,56.225,59.2,62.95
Oman,OMN,,,,,,256.034257570803,,,,0.0000365,0.000249794,0.0002681070182006,,,,,,47,,,,,,73.5
Pakistan,PAK,,,,,97.92124943,159.398625639835,,,,0.0002348,0.000202216,0.0001625119766686,,,,,100,74,,,,,55.05,66.35
Panama,PAN,471.5422459,489.6098,415.663,625.8401,479.5058892,474.486299438013,0.0011373,0.1898,0.1320496,0.0026919,0.00215368,0.00187722989358,14,11,13,12,15,18,76.73,73.4,72.36,76.625,71.875,72.725
Pitcairn,PCN,,,,,,,,,,,4.26e-7,,,,,,,,,,,,,
Peru,PER,,,,,96.17585569,89.2483065198021,,,,0.0001395,0.000140063,0.0001798171870177,,,,,101,107,,,,,57,54.075
Philippines,PHL,253.9256398,206.6698,146.057,269.8108,201.176951,162.385202412035,0.0002625,0.0332,0.0197598,0.0009005,0.000532474,0.0001552875619381,34,37,46,40,60,72,73.47,66.83,63.06,65.375,62.845,67.1
